Histology,Rename
Adenosquamous Carcinoma of the Gallbladder (GBASC),Gallbladder Cancer (GBC)
Biliary Tract (BILIARY_TRACT),Other
BILIARY_TRACT,Other
Cholangiocarcinoma (CHOL),Other
Extrahepatic Cholangiocarcinoma (EHCH),Extrahepatic Cholangiocarcinoma (EHCH)
"Gallbladder Adenocarcinoma, NOS (GBAD)",Gallbladder Cancer (GBC)
Gallbladder Cancer (GBC),Gallbladder Cancer (GBC)
Intracholecystic Papillary Neoplasm (ICPN),Other
Intraductal Papillary Neoplasm of the Bile Duct (IPN),Other
Intrahepatic Cholangiocarcinoma (IHCH),Intrahepatic Cholangiocarcinoma (IHCH)
Perihilar Cholangiocarcinoma (PHCH),Perihilar Cholangiocarcinoma (PHCH)
Small Cell Gallbladder Carcinoma (SCGBC),Gallbladder Cancer (GBC)
Ampulla of Vater (AMPULLA_OF_VATER),Other
AMPULLA_OF_VATER,Other
Ampullary Carcinoma (AMPCA),Ampullary Carcinoma (AMPCA)
Fibrolamellar Carcinoma (FLC),Other
Hepatoblastoma (LIHB),Other
Hepatocellular Carcinoma (HCC),Other
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma (HCCIHCH),Other
Intestinal Ampullary Carcinoma (IAMPCA),Ampullary Carcinoma (AMPCA)
LIVER,Other
Liver (LIVER),Other
Liver Angiosarcoma (LIAS),Other
Malignant Nonepithelial Tumor of the Liver (LIMNET),Other
Malignant Rhabdoid Tumor of the Liver (MRTL),Other
Mixed Ampullary Carcinoma (MAMPCA),Ampullary Carcinoma (AMPCA)
Pancreatobiliary Ampullary Carcinoma (PAMPCA),Ampullary Carcinoma (AMPCA)
Undifferentiated Embryonal Sarcoma of the Liver (UESL),Other
