Histology,Rename
Adenoid Cystic Carcinoma of the Lung (LUACC),Non-Small Cell Lung Cancer (NSCLC)
Atypical Lung Carcinoid (ALUCA),Other
Combined Small Cell Lung Carcinoma (CSCLC),Other
Giant Cell Carcinoma of the Lung (GCLC),Non-Small Cell Lung Cancer (NSCLC)
Large Cell Lung Carcinoma (LCLC),Other
Large Cell Neuroendocrine Carcinoma (LUNE),Other
LUNG,Other
Lung (LUNG),Other
Lung Adenocarcinoma (LUAD),Non-Small Cell Lung Cancer (NSCLC)
Lung Adenocarcinoma In Situ (LAIS),Non-Small Cell Lung Cancer (NSCLC)
Lung Adenosquamous Carcinoma (LUAS),Non-Small Cell Lung Cancer (NSCLC)
Lung Carcinoid (LUCA),Other
Lung Neuroendocrine Tumor (LNET),Other
Lung Squamous Cell Carcinoma (LUSC),Non-Small Cell Lung Cancer (NSCLC)
Lymphoepithelioma-like Carcinoma of the Lung (LECLC),Non-Small Cell Lung Cancer (NSCLC)
Mucoepidermoid Carcinoma of the Lung (LUMEC),Non-Small Cell Lung Cancer (NSCLC)
Non-Small Cell Lung Cancer (NSCLC),Non-Small Cell Lung Cancer (NSCLC)
NUT Carcinoma of the Lung (NUTCL),Non-Small Cell Lung Cancer (NSCLC)
Pleomorphic Carcinoma of the Lung (LUPC),Non-Small Cell Lung Cancer (NSCLC)
Pleuropulmonary Blastoma (PPB),Other
Poorly Differentiated Non-Small Cell Lung Cancer (NSCLCPD),Non-Small Cell Lung Cancer (NSCLC)
Salivary Gland-Type Tumor of the Lung (SGTTL),Non-Small Cell Lung Cancer (NSCLC)
Sarcomatoid Carcinoma of the Lung (SARCL),Non-Small Cell Lung Cancer (NSCLC)
Small Cell Lung Cancer (SCLC),Other
Spindle Cell Carcinoma of the Lung (SPCC),Non-Small Cell Lung Cancer (NSCLC)
